name,ttl,type,value
"vibes.diy","3600","NETLIFY","fireproof-ai-builder.netlify.app"
"www.vibes.diy","3600","NETLIFY","fireproof-ai-builder.netlify.app"
"_atproto.vibes.diy","3600","TXT","did=did:plc:crdpshctu3eqcfz3diehf3yp"
"vibes.diy","3600","TXT","google-site-verification=txO1AuhHWbHV6pKkhMD54dlRZ_UL7gH3Yk8k5ZnNFzQ"
"vibes.diy","3600","MX","SMTP.GOOGLE.COM."
"vibes.diy","3600","TXT","google-site-verification=bMVd2l9-k7SSa4V4PvqGrFuIPK0aACHniHoUV0zNP0M"
"vibes.diy","3600","TXT","brevo-code:e8898826cf52ba401b66659a325b0624"
"brevo1._domainkey.vibes.diy","3600","CNAME","b1.vibes-diy.dkim.brevo.com"
"brevo2._domainkey.vibes.diy","3600","CNAME","b2.vibes-diy.dkim.brevo.com"
"_dmarc.vibes.diy","3600","TXT","v=DMARC1; p=none; rua=mailto:rua@dmarc.brevo.com"
"welcome.vibes.diy","3600","CNAME","cdn.webflow.com"
"_webflow.welcome.vibes.diy","3600","TXT","one-time-verification=99b59b4d-9c80-4c74-a7aa-548f2f5f06e6"
"use.vibes.diy","3600","CNAME","cdn.webflow.com"
"_webflow.use.vibes.diy","3600","TXT","one-time-verification=06535bc4-529d-4955-ba4d-0850bd6cbc9f"
"jsconfmx.vibes.diy","3600","CNAME","cdn.webflow.com"
"_webflow.jsconfmx.vibes.diy","3600","TXT","one-time-verification=464b2929-4c02-4bac-a2bc-207e5bdf6f9c"
"clerk.vibes.diy","3600","CNAME","frontend-api.clerk.services"
"accounts.vibes.diy","3600","CNAME","accounts.clerk.services"
"clkmail.vibes.diy","3600","CNAME","mail.edp4zgwni3ox.clerk.services"
"clk._domainkey.vibes.diy","3600","CNAME","dkim1.edp4zgwni3ox.clerk.services"
"clk2._domainkey.vibes.diy","3600","CNAME","dkim2.edp4zgwni3ox.clerk.services"
